instrument,algorithm,scenario,preset,seed,sheep_model,dog_controller,obs_mode,n_sheep,n_shepherds,success,total_ticks,resolved_config,stubborn_fraction,sweep_label,factor_label,final_gcm_goal,final_success_rate,final_sheep_in_goal,time_to_goal,shepherd_path,final_min_separation,mean_cohesion,min_cohesion,max_cohesion,auc_cohesion,mean_gcm_goal,min_gcm_goal,max_gcm_goal,auc_gcm_goal,mean_polarization,min_polarization,max_polarization,auc_polarization,mean_fragmentation,min_fragmentation,max_fragmentation,auc_fragmentation,mean_outlier_count,min_outlier_count,max_outlier_count,auc_outlier_count,control_efficiency,first_success_tick
strombom,strombom,drive_to_goal,custom,1,strombom,collect_drive,global,20,1,True,129,"{'world_width': 150.0, 'world_height': 150.0, 'goal_center': [15.0, 15.0], 'goal_radius': 15.0, 'max_ticks': 400, 'measurement_radius': 5.0, 'n_sheep': 20, 'r_a': 2.0, 'r_s': 65.0, 'rs_weight': 1.0, 'n_neighbors': -1, 'c': 1.05, 'noise_strength': 0.3, 'sheep_speed': 1.0, 'inertia': 0.5, 'graze_move_prob': 0.05, 'collect_threshold_scale': 1.0, 'n_shepherds': 1, 'shepherd_speed': 1.5, 'shepherd_stop_multiple': 3.0, 'initial_spread': 30.0, 'shepherd_start_offset': 50.0, 'success_fraction': 1.0, 'sheep_model': 'strombom', 'dog_controller': 'collect_drive', 'scenario_id': 'drive_to_goal', 'obs_mode': 'global', 'observation_frequency': 1, 'noise_sigma': 0.0, 'communication': 'none', 'stubborn_fraction': 0, 'stubborn_rs_scale': 0.25, 'stubborn_response_scale': 0.25, 'cohesion_scale': 1.0, 'initial_layout': 'cluster', 'speed_scale': 1.0, 'failure_mode': 'none', 'failure_tick': -1, 'sensing_scale': 1.0, 'goal_mode': 'static', 'goal_velocity': [0.0, 0.0], 'latency': 0}",0.0,"n_sheep=20, n_shepherds=1, obs_mode=global, stubborn_fraction=0","n_sheep=20, n_shepherds=1, obs_mode=global, stubborn_fraction=0",10.283269052261637,1.0,20.0,129.0,163.82566983966296,1.0127776644486923,7.5364517352368,3.2206998788572734,23.10411872030615,7.5364517352368,49.57746394994525,10.283269052261637,85.04489376368404,49.57746394994525,0.6969111958524772,0.0,0.9835136501280337,0.6969111958524772,0.7407692307692308,0.1,1.0,0.7407692307692308,3.4384615384615387,0.0,18.0,3.4384615384615387,0.4563486588188041,129.0
strombom,strombom,drive_to_goal,custom,2,strombom,collect_drive,global,20,1,True,120,"{'world_width': 150.0, 'world_height': 150.0, 'goal_center': [15.0, 15.0], 'goal_radius': 15.0, 'max_ticks': 400, 'measurement_radius': 5.0, 'n_sheep': 20, 'r_a': 2.0, 'r_s': 65.0, 'rs_weight': 1.0, 'n_neighbors': -1, 'c': 1.05, 'noise_strength': 0.3, 'sheep_speed': 1.0, 'inertia': 0.5, 'graze_move_prob': 0.05, 'collect_threshold_scale': 1.0, 'n_shepherds': 1, 'shepherd_speed': 1.5, 'shepherd_stop_multiple': 3.0, 'initial_spread': 30.0, 'shepherd_start_offset': 50.0, 'success_fraction': 1.0, 'sheep_model': 'strombom', 'dog_controller': 'collect_drive', 'scenario_id': 'drive_to_goal', 'obs_mode': 'global', 'observation_frequency': 1, 'noise_sigma': 0.0, 'communication': 'none', 'stubborn_fraction': 0, 'stubborn_rs_scale': 0.25, 'stubborn_response_scale': 0.25, 'cohesion_scale': 1.0, 'initial_layout': 'cluster', 'speed_scale': 1.0, 'failure_mode': 'none', 'failure_tick': -1, 'sensing_scale': 1.0, 'goal_mode': 'static', 'goal_velocity': [0.0, 0.0], 'latency': 0}",0.0,"n_sheep=20, n_shepherds=1, obs_mode=global, stubborn_fraction=0","n_sheep=20, n_shepherds=1, obs_mode=global, stubborn_fraction=0",10.230157041470099,1.0,20.0,120.0,150.89341177585658,0.30729197499611677,6.929749528321611,3.0890410964467847,20.18455233315248,6.929749528321611,49.03273633772759,10.230157041470099,85.4702427263238,49.03273633772759,0.697350320984043,0.0,0.9692928814421371,0.697350320984043,0.7706611570247934,0.15,1.0,0.7706611570247934,2.9173553719008263,0.0,13.0,2.9173553719008263,0.49863068771099495,120.0
strombom,strombom,drive_to_goal,custom,3,strombom,collect_drive,global,20,1,True,153,"{'world_width': 150.0, 'world_height': 150.0, 'goal_center': [15.0, 15.0], 'goal_radius': 15.0, 'max_ticks': 400, 'measurement_radius': 5.0, 'n_sheep': 20, 'r_a': 2.0, 'r_s': 65.0, 'rs_weight': 1.0, 'n_neighbors': -1, 'c': 1.05, 'noise_strength': 0.3, 'sheep_speed': 1.0, 'inertia': 0.5, 'graze_move_prob': 0.05, 'collect_threshold_scale': 1.0, 'n_shepherds': 1, 'shepherd_speed': 1.5, 'shepherd_stop_multiple': 3.0, 'initial_spread': 30.0, 'shepherd_start_offset': 50.0, 'success_fraction': 1.0, 'sheep_model': 'strombom', 'dog_controller': 'collect_drive', 'scenario_id': 'drive_to_goal', 'obs_mode': 'global', 'observation_frequency': 1, 'noise_sigma': 0.0, 'communication': 'none', 'stubborn_fraction': 0, 'stubborn_rs_scale': 0.25, 'stubborn_response_scale': 0.25, 'cohesion_scale': 1.0, 'initial_layout': 'cluster', 'speed_scale': 1.0, 'failure_mode': 'none', 'failure_tick': -1, 'sensing_scale': 1.0, 'goal_mode': 'static', 'goal_velocity': [0.0, 0.0], 'latency': 0}",0.0,"n_sheep=20, n_shepherds=1, obs_mode=global, stubborn_fraction=0","n_sheep=20, n_shepherds=1, obs_mode=global, stubborn_fraction=0",9.79498799271103,1.0,20.0,153.0,191.18712446630514,0.4543272920695159,6.923510164353168,3.313104969768724,21.274165187124233,6.923510164353168,48.906768319995024,9.79498799271103,83.20675920480268,48.906768319995024,0.6752756816015034,0.0,0.998037560548821,0.6752756816015034,0.7883116883116883,0.1,1.0,0.7883116883116883,2.909090909090909,0.0,17.0,2.909090909090909,0.3839786356796729,153.0
strombom,strombom,drive_to_goal,custom,1,strombom,collect_drive,global,20,1,True,159,"{'world_width': 150.0, 'world_height': 150.0, 'goal_center': [15.0, 15.0], 'goal_radius': 15.0, 'max_ticks': 400, 'measurement_radius': 5.0, 'n_sheep': 20, 'r_a': 2.0, 'r_s': 65.0, 'rs_weight': 1.0, 'n_neighbors': -1, 'c': 1.05, 'noise_strength': 0.3, 'sheep_speed': 1.0, 'inertia': 0.5, 'graze_move_prob': 0.05, 'collect_threshold_scale': 1.0, 'n_shepherds': 1, 'shepherd_speed': 1.5, 'shepherd_stop_multiple': 3.0, 'initial_spread': 30.0, 'shepherd_start_offset': 50.0, 'success_fraction': 1.0, 'sheep_model': 'strombom', 'dog_controller': 'collect_drive', 'scenario_id': 'drive_to_goal', 'obs_mode': 'global', 'observation_frequency': 1, 'noise_sigma': 0.0, 'communication': 'none', 'stubborn_fraction': 0.5, 'stubborn_rs_scale': 0.25, 'stubborn_response_scale': 0.25, 'cohesion_scale': 1.0, 'initial_layout': 'cluster', 'speed_scale': 1.0, 'failure_mode': 'none', 'failure_tick': -1, 'sensing_scale': 1.0, 'goal_mode': 'static', 'goal_velocity': [0.0, 0.0], 'latency': 0}",0.5,"n_sheep=20, n_shepherds=1, obs_mode=global, stubborn_fraction=0.5","n_sheep=20, n_shepherds=1, obs_mode=global, stubborn_fraction=0.5",9.550551058605329,1.0,20.0,159.0,148.50000000000003,0.8737253903896408,6.92907848360027,3.7482184804372807,23.10411872030615,6.92907848360027,47.52789843819844,9.550551058605329,85.04489376368404,47.52789843819844,0.5368742173331842,0.0,0.9475221839278019,0.5368742173331842,0.791875,0.1,1.0,0.791875,2.5375,0.0,18.0,2.5375,0.508379412155412,159.0
strombom,strombom,drive_to_goal,custom,2,strombom,collect_drive,global,20,1,True,168,"{'world_width': 150.0, 'world_height': 150.0, 'goal_center': [15.0, 15.0], 'goal_radius': 15.0, 'max_ticks': 400, 'measurement_radius': 5.0, 'n_sheep': 20, 'r_a': 2.0, 'r_s': 65.0, 'rs_weight': 1.0, 'n_neighbors': -1, 'c': 1.05, 'noise_strength': 0.3, 'sheep_speed': 1.0, 'inertia': 0.5, 'graze_move_prob': 0.05, 'collect_threshold_scale': 1.0, 'n_shepherds': 1, 'shepherd_speed': 1.5, 'shepherd_stop_multiple': 3.0, 'initial_spread': 30.0, 'shepherd_start_offset': 50.0, 'success_fraction': 1.0, 'sheep_model': 'strombom', 'dog_controller': 'collect_drive', 'scenario_id': 'drive_to_goal', 'obs_mode': 'global', 'observation_frequency': 1, 'noise_sigma': 0.0, 'communication': 'none', 'stubborn_fraction': 0.5, 'stubborn_rs_scale': 0.25, 'stubborn_response_scale': 0.25, 'cohesion_scale': 1.0, 'initial_layout': 'cluster', 'speed_scale': 1.0, 'failure_mode': 'none', 'failure_tick': -1, 'sensing_scale': 1.0, 'goal_mode': 'static', 'goal_velocity': [0.0, 0.0], 'latency': 0}",0.5,"n_sheep=20, n_shepherds=1, obs_mode=global, stubborn_fraction=0.5","n_sheep=20, n_shepherds=1, obs_mode=global, stubborn_fraction=0.5",7.383690017028026,1.0,20.0,168.0,143.5914425539806,0.6475822346528525,6.174666845204137,3.665936373048344,20.18455233315248,6.174666845204137,46.37650908708128,7.383690017028026,85.4702427263238,46.37650908708128,0.5114924378209391,0.0,0.93610898774157,0.5114924378209391,0.8505917159763313,0.15,1.0,0.8505917159763313,1.8461538461538463,0.0,13.0,1.8461538461538463,0.5438106291044505,168.0
strombom,strombom,drive_to_goal,custom,3,strombom,collect_drive,global,20,1,True,166,"{'world_width': 150.0, 'world_height': 150.0, 'goal_center': [15.0, 15.0], 'goal_radius': 15.0, 'max_ticks': 400, 'measurement_radius': 5.0, 'n_sheep': 20, 'r_a': 2.0, 'r_s': 65.0, 'rs_weight': 1.0, 'n_neighbors': -1, 'c': 1.05, 'noise_strength': 0.3, 'sheep_speed': 1.0, 'inertia': 0.5, 'graze_move_prob': 0.05, 'collect_threshold_scale': 1.0, 'n_shepherds': 1, 'shepherd_speed': 1.5, 'shepherd_stop_multiple': 3.0, 'initial_spread': 30.0, 'shepherd_start_offset': 50.0, 'success_fraction': 1.0, 'sheep_model': 'strombom', 'dog_controller': 'collect_drive', 'scenario_id': 'drive_to_goal', 'obs_mode': 'global', 'observation_frequency': 1, 'noise_sigma': 0.0, 'communication': 'none', 'stubborn_fraction': 0.5, 'stubborn_rs_scale': 0.25, 'stubborn_response_scale': 0.25, 'cohesion_scale': 1.0, 'initial_layout': 'cluster', 'speed_scale': 1.0, 'failure_mode': 'none', 'failure_tick': -1, 'sensing_scale': 1.0, 'goal_mode': 'static', 'goal_velocity': [0.0, 0.0], 'latency': 0}",0.5,"n_sheep=20, n_shepherds=1, obs_mode=global, stubborn_fraction=0.5","n_sheep=20, n_shepherds=1, obs_mode=global, stubborn_fraction=0.5",6.941825560040027,1.0,20.0,166.0,169.50000000000003,0.6954606653224553,7.018602981593184,3.8131092022154247,21.274165187124233,7.018602981593184,47.507823780624065,6.941825560040027,83.20675920480268,47.507823780624065,0.5519829984084721,0.0,0.9742400727874425,0.5519829984084721,0.8152694610778444,0.1,1.0,0.8152694610778444,2.4491017964071857,0.0,17.0,2.4491017964071857,0.4499406114735259,166.0
strombom,strombom,drive_to_goal,custom,1,strombom,collect_drive,local_positions,20,1,True,125,"{'world_width': 150.0, 'world_height': 150.0, 'goal_center': [15.0, 15.0], 'goal_radius': 15.0, 'max_ticks': 400, 'measurement_radius': 5.0, 'n_sheep': 20, 'r_a': 2.0, 'r_s': 65.0, 'rs_weight': 1.0, 'n_neighbors': -1, 'c': 1.05, 'noise_strength': 0.3, 'sheep_speed': 1.0, 'inertia': 0.5, 'graze_move_prob': 0.05, 'collect_threshold_scale': 1.0, 'n_shepherds': 1, 'shepherd_speed': 1.5, 'shepherd_stop_multiple': 3.0, 'initial_spread': 30.0, 'shepherd_start_offset': 50.0, 'success_fraction': 1.0, 'sheep_model': 'strombom', 'dog_controller': 'collect_drive', 'scenario_id': 'drive_to_goal', 'obs_mode': 'local_positions', 'observation_frequency': 1, 'noise_sigma': 0.0, 'communication': 'none', 'stubborn_fraction': 0, 'stubborn_rs_scale': 0.25, 'stubborn_response_scale': 0.25, 'cohesion_scale': 1.0, 'initial_layout': 'cluster', 'speed_scale': 1.0, 'failure_mode': 'none', 'failure_tick': -1, 'sensing_scale': 1.0, 'goal_mode': 'static', 'goal_velocity': [0.0, 0.0], 'latency': 0}",0.0,"n_sheep=20, n_shepherds=1, obs_mode=local_positions, stubborn_fraction=0","n_sheep=20, n_shepherds=1, obs_mode=local_positions, stubborn_fraction=0",9.307888343298766,1.0,20.0,125.0,155.83138442115796,0.4434827873448951,7.636358685282443,3.165285907202503,23.10411872030615,7.636358685282443,48.835644201655995,9.307888343298766,85.04489376368404,48.835644201655995,0.6849968939210652,0.0,0.9835136501280337,0.6849968939210652,0.7357142857142858,0.1,1.0,0.7357142857142858,3.5714285714285716,0.0,18.0,3.5714285714285716,0.48601894734949236,125.0
strombom,strombom,drive_to_goal,custom,2,strombom,collect_drive,local_positions,20,1,True,122,"{'world_width': 150.0, 'world_height': 150.0, 'goal_center': [15.0, 15.0], 'goal_radius': 15.0, 'max_ticks': 400, 'measurement_radius': 5.0, 'n_sheep': 20, 'r_a': 2.0, 'r_s': 65.0, 'rs_weight': 1.0, 'n_neighbors': -1, 'c': 1.05, 'noise_strength': 0.3, 'sheep_speed': 1.0, 'inertia': 0.5, 'graze_move_prob': 0.05, 'collect_threshold_scale': 1.0, 'n_shepherds': 1, 'shepherd_speed': 1.5, 'shepherd_stop_multiple': 3.0, 'initial_spread': 30.0, 'shepherd_start_offset': 50.0, 'success_fraction': 1.0, 'sheep_model': 'strombom', 'dog_controller': 'collect_drive', 'scenario_id': 'drive_to_goal', 'obs_mode': 'local_positions', 'observation_frequency': 1, 'noise_sigma': 0.0, 'communication': 'none', 'stubborn_fraction': 0, 'stubborn_rs_scale': 0.25, 'stubborn_response_scale': 0.25, 'cohesion_scale': 1.0, 'initial_layout': 'cluster', 'speed_scale': 1.0, 'failure_mode': 'none', 'failure_tick': -1, 'sensing_scale': 1.0, 'goal_mode': 'static', 'goal_velocity': [0.0, 0.0], 'latency': 0}",0.0,"n_sheep=20, n_shepherds=1, obs_mode=local_positions, stubborn_fraction=0","n_sheep=20, n_shepherds=1, obs_mode=local_positions, stubborn_fraction=0",10.353394298273095,1.0,20.0,122.0,150.73380277078783,0.5980981702153246,6.775069619888046,3.1874596300106424,20.18455233315248,6.775069619888046,49.780018191648544,10.353394298273095,85.4702427263238,49.780018191648544,0.6901791159196846,0.0,0.9693606493783198,0.6901791159196846,0.7833333333333333,0.15,1.0,0.7833333333333333,2.7804878048780486,0.0,13.0,2.7804878048780486,0.4983410956749797,122.0
strombom,strombom,drive_to_goal,custom,3,strombom,collect_drive,local_positions,20,1,True,125,"{'world_width': 150.0, 'world_height': 150.0, 'goal_center': [15.0, 15.0], 'goal_radius': 15.0, 'max_ticks': 400, 'measurement_radius': 5.0, 'n_sheep': 20, 'r_a': 2.0, 'r_s': 65.0, 'rs_weight': 1.0, 'n_neighbors': -1, 'c': 1.05, 'noise_strength': 0.3, 'sheep_speed': 1.0, 'inertia': 0.5, 'graze_move_prob': 0.05, 'collect_threshold_scale': 1.0, 'n_shepherds': 1, 'shepherd_speed': 1.5, 'shepherd_stop_multiple': 3.0, 'initial_spread': 30.0, 'shepherd_start_offset': 50.0, 'success_fraction': 1.0, 'sheep_model': 'strombom', 'dog_controller': 'collect_drive', 'scenario_id': 'drive_to_goal', 'obs_mode': 'local_positions', 'observation_frequency': 1, 'noise_sigma': 0.0, 'communication': 'none', 'stubborn_fraction': 0, 'stubborn_rs_scale': 0.25, 'stubborn_response_scale': 0.25, 'cohesion_scale': 1.0, 'initial_layout': 'cluster', 'speed_scale': 1.0, 'failure_mode': 'none', 'failure_tick': -1, 'sensing_scale': 1.0, 'goal_mode': 'static', 'goal_velocity': [0.0, 0.0], 'latency': 0}",0.0,"n_sheep=20, n_shepherds=1, obs_mode=local_positions, stubborn_fraction=0","n_sheep=20, n_shepherds=1, obs_mode=local_positions, stubborn_fraction=0",10.208098113135174,1.0,20.0,125.0,161.58862471784542,0.8733259696596051,7.462123424659617,3.065747787956238,21.274165187124233,7.462123424659617,49.22023630458975,10.208098113135174,83.20675920480268,49.22023630458975,0.6792118660720327,0.0,0.998037560548821,0.6792118660720327,0.7527777777777778,0.1,1.0,0.7527777777777778,3.373015873015873,0.0,17.0,3.373015873015873,0.45175618778322163,125.0
strombom,strombom,drive_to_goal,custom,1,strombom,collect_drive,local_positions,20,1,True,158,"{'world_width': 150.0, 'world_height': 150.0, 'goal_center': [15.0, 15.0], 'goal_radius': 15.0, 'max_ticks': 400, 'measurement_radius': 5.0, 'n_sheep': 20, 'r_a': 2.0, 'r_s': 65.0, 'rs_weight': 1.0, 'n_neighbors': -1, 'c': 1.05, 'noise_strength': 0.3, 'sheep_speed': 1.0, 'inertia': 0.5, 'graze_move_prob': 0.05, 'collect_threshold_scale': 1.0, 'n_shepherds': 1, 'shepherd_speed': 1.5, 'shepherd_stop_multiple': 3.0, 'initial_spread': 30.0, 'shepherd_start_offset': 50.0, 'success_fraction': 1.0, 'sheep_model': 'strombom', 'dog_controller': 'collect_drive', 'scenario_id': 'drive_to_goal', 'obs_mode': 'local_positions', 'observation_frequency': 1, 'noise_sigma': 0.0, 'communication': 'none', 'stubborn_fraction': 0.5, 'stubborn_rs_scale': 0.25, 'stubborn_response_scale': 0.25, 'cohesion_scale': 1.0, 'initial_layout': 'cluster', 'speed_scale': 1.0, 'failure_mode': 'none', 'failure_tick': -1, 'sensing_scale': 1.0, 'goal_mode': 'static', 'goal_velocity': [0.0, 0.0], 'latency': 0}",0.5,"n_sheep=20, n_shepherds=1, obs_mode=local_positions, stubborn_fraction=0.5","n_sheep=20, n_shepherds=1, obs_mode=local_positions, stubborn_fraction=0.5",9.069244591564043,1.0,20.0,158.0,147.0,0.6927846495829644,6.887959699591211,3.611759407854872,23.10411872030615,6.887959699591211,47.70662170353276,9.069244591564043,85.04489376368404,47.70662170353276,0.5380853636811153,0.0,0.9475221839278019,0.5380853636811153,0.8050314465408805,0.1,1.0,0.8050314465408805,2.69811320754717,0.0,18.0,2.69811320754717,0.5168411508307483,158.0
