method,initial_layout,obs_mode,n_sheep,n_shepherds,reliability,role
strombom_multi,compact,global,5,1,0.03333333333333333,reliability
strombom_multi,compact,global,5,2,1.0,reliability
strombom_multi,compact,global,5,3,1.0,reliability
strombom_multi,compact,global,10,1,0.26666666666666666,reliability
strombom_multi,compact,global,10,2,1.0,reliability
strombom_multi,compact,global,10,3,1.0,reliability
strombom_multi,compact,global,25,1,1.0,reliability
strombom_multi,compact,global,25,2,1.0,reliability
strombom_multi,compact,global,50,1,1.0,reliability
strombom_multi,compact,global,50,2,1.0,reliability
strombom_multi,compact,global,75,1,1.0,reliability
strombom_multi,compact,global,75,2,1.0,reliability
strombom_multi,compact,global,100,1,1.0,reliability
strombom_multi,compact,global,100,2,1.0,reliability
strombom_multi,compact,global,150,1,1.0,reliability
strombom_multi,compact,global,150,2,1.0,reliability
strombom_multi,compact,global,200,1,1.0,reliability
strombom_multi,compact,global,200,2,1.0,reliability
strombom_multi,compact,global,300,1,1.0,reliability
strombom_multi,compact,global,300,2,1.0,reliability
strombom_multi,compact,global,400,1,1.0,reliability
strombom_multi,compact,global,400,2,1.0,reliability
