initial_layout,n_sheep,d_min,d_overcrowd,d_max,b_star_d,b_star_t,b_star_effort,hard_failure
compact,5,2,,35,2,10000.0,335.0757209570848,False
compact,10,2,,35,2,10000.0,328.75622089181064,False
compact,25,1,,35,1,10000.0,163.4999999999999,False
compact,50,1,,35,1,10000.0,157.49999999999977,False
compact,75,1,,35,1,10000.0,155.8911078292099,False
compact,100,1,,35,1,10000.0,161.35167363755858,False
compact,150,1,,35,1,10000.0,153.02725443107565,False
compact,200,1,,35,1,10000.0,144.17124164542776,False
compact,300,1,,35,1,10000.0,130.81134639802144,False
compact,400,1,,35,1,10000.0,119.83311309692806,False
