initial_layout,n_sheep,n_shepherds,reliability,median_effort,regime,d_min,d_overcrowd
compact,5,1,0.07407407407407407,1282.5,under_resourced_failure,2,
compact,5,2,1.0,335.0757209570848,efficient_operation,2,
compact,5,3,1.0,511.4691473973583,wasteful_overspend,2,
compact,5,4,1.0,687.96099349774,wasteful_overspend,2,
compact,5,6,1.0,1019.1231700365652,wasteful_overspend,2,
compact,5,10,1.0,1709.8755709534807,wasteful_overspend,2,
compact,5,15,1.0,2580.5522363231084,wasteful_overspend,2,
compact,5,20,1.0,3477.3739822492817,wasteful_overspend,2,
compact,5,25,1.0,4353.324183716168,wasteful_overspend,2,
compact,5,35,1.0,6224.585334413209,wasteful_overspend,2,
compact,10,1,0.24,5666.699549485117,under_resourced_failure,2,
compact,10,2,1.0,328.75622089181064,efficient_operation,2,
compact,10,3,1.0,501.70235790610536,wasteful_overspend,2,
compact,10,4,1.0,675.0504037821402,wasteful_overspend,2,
compact,10,6,1.0,1006.0734577300107,wasteful_overspend,2,
compact,10,10,1.0,1673.673070725094,wasteful_overspend,2,
compact,10,15,1.0,2519.742860871036,wasteful_overspend,2,
compact,10,20,1.0,3366.2773599791035,wasteful_overspend,2,
compact,10,25,1.0,4268.199503800433,wasteful_overspend,2,
compact,10,35,1.0,6084.844492325578,wasteful_overspend,2,
compact,25,1,1.0,163.4999999999999,efficient_operation,1,
compact,25,2,1.0,319.1675302091244,wasteful_overspend,1,
compact,25,3,1.0,486.88055315996746,wasteful_overspend,1,
compact,25,4,1.0,654.3163547348529,wasteful_overspend,1,
compact,25,6,1.0,966.8687365638382,wasteful_overspend,1,
compact,25,10,1.0,1626.0399388103797,wasteful_overspend,1,
compact,25,15,1.0,2439.5651817274465,wasteful_overspend,1,
compact,25,20,1.0,3251.320777327808,wasteful_overspend,1,
compact,25,25,1.0,4085.328661776888,wasteful_overspend,1,
compact,25,35,1.0,5830.648864428786,wasteful_overspend,1,
compact,50,1,1.0,157.49999999999977,efficient_operation,1,
compact,50,2,1.0,307.00969550461616,wasteful_overspend,1,
compact,50,3,1.0,466.9715189957607,wasteful_overspend,1,
compact,50,4,1.0,625.9633042488227,wasteful_overspend,1,
compact,50,6,1.0,939.1083852451795,wasteful_overspend,1,
compact,50,10,1.0,1559.589589870271,wasteful_overspend,1,
compact,50,15,1.0,2332.670203132581,wasteful_overspend,1,
compact,50,20,1.0,3116.4917840398057,wasteful_overspend,1,
compact,50,25,1.0,3901.592828278505,wasteful_overspend,1,
compact,50,35,1.0,5457.651440333049,wasteful_overspend,1,
compact,75,1,1.0,155.8911078292099,efficient_operation,1,
compact,75,2,1.0,299.8563770058116,wasteful_overspend,1,
compact,75,3,1.0,456.0982153579041,wasteful_overspend,1,
compact,75,4,1.0,608.6294994700883,wasteful_overspend,1,
compact,75,6,1.0,914.0671790965089,wasteful_overspend,1,
compact,75,10,1.0,1518.953847332502,wasteful_overspend,1,
compact,75,15,1.0,2283.619053375345,wasteful_overspend,1,
compact,75,20,1.0,3034.876720536812,wasteful_overspend,1,
compact,75,25,1.0,3801.0959282665704,wasteful_overspend,1,
compact,75,35,1.0,5327.9679641613875,wasteful_overspend,1,
compact,100,1,1.0,161.35167363755858,efficient_operation,1,
compact,100,2,1.0,299.0225539990977,wasteful_overspend,1,
compact,100,3,1.0,447.34735388177756,wasteful_overspend,1,
