method,initial_layout,obs_mode,n_sheep,d_min,d_min_ci_low,d_min_ci_high,d_min_ci_low_above_grid,d_min_ci_high_above_grid,n_boot,n_seeds_ref,n_boot_defined
strombom_multi,compact,global,5,2,2,2,False,False,1000,30,1000
strombom_multi,compact,global,10,2,2,2,False,False,1000,30,1000
strombom_multi,compact,global,25,1,1,1,False,False,1000,30,1000
strombom_multi,compact,global,50,1,1,1,False,False,1000,30,1000
strombom_multi,compact,global,75,1,1,1,False,False,1000,30,1000
strombom_multi,compact,global,100,1,1,1,False,False,1000,30,1000
strombom_multi,compact,global,150,1,1,1,False,False,1000,30,1000
strombom_multi,compact,global,200,1,1,1,False,False,1000,30,1000
strombom_multi,compact,global,300,1,1,1,False,False,1000,30,1000
strombom_multi,compact,global,400,1,1,1,False,False,1000,30,1000
