initial_layout,n_sheep,n_shepherds,reliability,median_effort,regime,d_min,d_overcrowd
compact,5,1,0.0,2200.5,under_resourced_failure,2,
compact,5,2,1.0,337.26568888694453,efficient_operation,2,
compact,5,3,1.0,513.3077724086436,wasteful_overspend,2,
compact,5,4,1.0,691.327272338398,wasteful_overspend,2,
compact,5,6,1.0,1017.8455550430268,wasteful_overspend,2,
compact,5,10,1.0,1735.788558882809,wasteful_overspend,2,
compact,10,1,0.4,6096.266955186601,under_resourced_failure,2,
compact,10,2,1.0,329.6704698689872,efficient_operation,2,
compact,10,3,1.0,501.5574191837087,wasteful_overspend,2,
compact,10,4,1.0,675.833799715027,wasteful_overspend,2,
compact,10,6,1.0,1009.4046303113662,wasteful_overspend,2,
compact,10,10,1.0,1669.120689172938,wasteful_overspend,2,
compact,25,1,1.0,161.99999999999994,efficient_operation,1,
compact,25,2,1.0,315.19141196419093,wasteful_overspend,1,
compact,25,3,1.0,488.05557957690087,wasteful_overspend,1,
compact,25,4,1.0,649.3222543510517,wasteful_overspend,1,
compact,25,6,1.0,969.6446344390152,wasteful_overspend,1,
compact,25,10,1.0,1639.414449966736,wasteful_overspend,1,
compact,50,1,1.0,157.49999999999994,efficient_operation,1,
compact,50,2,1.0,306.48320258895774,wasteful_overspend,1,
compact,50,3,1.0,467.5998483936561,wasteful_overspend,1,
compact,50,4,1.0,630.8514050283248,wasteful_overspend,1,
compact,50,6,1.0,940.5195416078848,wasteful_overspend,1,
compact,50,10,1.0,1559.4122150313774,wasteful_overspend,1,
compact,100,1,1.0,157.7771091625687,efficient_operation,1,
compact,100,2,1.0,297.5289366996917,wasteful_overspend,1,
compact,100,3,1.0,446.2764262312087,wasteful_overspend,1,
compact,100,4,1.0,600.0592932423897,wasteful_overspend,1,
compact,100,6,1.0,897.9399433350882,wasteful_overspend,1,
compact,100,10,1.0,1494.5559905269176,wasteful_overspend,1,
