initial_layout,n_sheep,d_min,d_overcrowd,d_max,b_star_d,b_star_t,b_star_effort,hard_failure
compact,5,2,,35,2,10000.0,337.8991583236891,False
compact,10,2,,35,2,10000.0,330.49174752672127,False
compact,25,1,,35,1,10000.0,163.50000000000003,False
compact,50,1,,35,1,10000.0,157.50000000000006,False
compact,75,1,,35,1,10000.0,154.89715559240045,False
compact,100,1,,35,1,10000.0,161.41421891042495,False
compact,150,1,,35,1,10000.0,153.21632015908386,False
compact,200,1,,35,1,10000.0,143.61898348937683,False
compact,300,1,,35,1,10000.0,131.32856558695718,False
compact,400,1,,35,1,10000.0,119.50488747458517,False
