initial_layout,n_sheep,n_shepherds,reliability
compact,5,1,0.03333333333333333
compact,5,2,1.0
compact,5,3,1.0
compact,5,4,1.0
compact,5,6,1.0
compact,5,10,1.0
compact,5,15,1.0
compact,5,20,1.0
compact,5,25,1.0
compact,5,35,1.0
compact,10,1,0.26666666666666666
compact,10,2,1.0
compact,10,3,1.0
compact,10,4,1.0
compact,10,6,1.0
compact,10,10,1.0
compact,10,15,1.0
compact,10,20,1.0
compact,10,25,1.0
compact,10,35,1.0
compact,25,1,1.0
compact,25,2,1.0
compact,25,3,1.0
compact,25,4,1.0
compact,25,6,1.0
compact,25,10,1.0
compact,25,15,1.0
compact,25,20,1.0
compact,25,25,1.0
compact,25,35,1.0
compact,50,1,1.0
compact,50,2,1.0
compact,50,3,1.0
compact,50,4,1.0
compact,50,6,1.0
compact,50,10,1.0
compact,50,15,1.0
compact,50,20,1.0
compact,50,25,1.0
compact,50,35,1.0
compact,75,1,1.0
compact,75,2,1.0
compact,75,3,1.0
compact,75,4,1.0
compact,75,6,1.0
compact,75,10,1.0
compact,75,15,1.0
compact,75,20,1.0
compact,75,25,1.0
compact,75,35,1.0
compact,100,1,1.0
compact,100,2,1.0
compact,100,3,1.0
compact,100,4,1.0
compact,100,6,1.0
compact,100,10,1.0
compact,100,15,1.0
compact,100,20,1.0
compact,100,25,1.0
compact,100,35,1.0
compact,150,1,1.0
compact,150,2,1.0
compact,150,3,1.0
compact,150,4,1.0
compact,150,6,1.0
compact,150,10,1.0
compact,150,15,1.0
compact,150,20,1.0
compact,150,25,1.0
compact,150,35,1.0
compact,200,1,1.0
compact,200,2,1.0
compact,200,3,1.0
compact,200,4,1.0
compact,200,6,1.0
compact,200,10,1.0
compact,200,15,1.0
compact,200,20,1.0
compact,200,25,1.0
compact,200,35,1.0
compact,300,1,1.0
compact,300,2,1.0
compact,300,3,1.0
compact,300,4,1.0
compact,300,6,1.0
compact,300,10,1.0
compact,300,15,1.0
compact,300,20,1.0
compact,300,25,1.0
compact,300,35,1.0
compact,400,1,1.0
compact,400,2,1.0
compact,400,3,1.0
compact,400,4,1.0
compact,400,6,1.0
compact,400,10,1.0
compact,400,15,1.0
compact,400,20,1.0
compact,400,25,1.0
compact,400,35,1.0
